date,area_type,area_code,area_name,metric,metric_name,value
2020-08-11,nation,E92000001,England,newAdmissions,New admissions,63.0
2020-08-11,nation,S92000003,Scotland,newAdmissions,New admissions,2.0
2020-08-12,nation,W92000004,Wales,newAdmissions,New admissions,45.0
2020-08-12,nation,S92000003,Scotland,newAdmissions,New admissions,2.0
2020-08-12,nation,E92000001,England,newAdmissions,New admissions,51.0
2020-08-12,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-13,nation,S92000003,Scotland,newAdmissions,New admissions,2.0
2020-08-13,nation,E92000001,England,newAdmissions,New admissions,60.0
2020-08-13,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-13,nation,W92000004,Wales,newAdmissions,New admissions,63.0
2020-08-14,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-14,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-08-14,nation,W92000004,Wales,newAdmissions,New admissions,39.0
2020-08-14,nation,E92000001,England,newAdmissions,New admissions,55.0
2020-08-15,nation,E92000001,England,newAdmissions,New admissions,38.0
2020-08-15,nation,S92000003,Scotland,newAdmissions,New admissions,7.0
2020-08-15,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-15,nation,W92000004,Wales,newAdmissions,New admissions,52.0
2020-08-16,nation,E92000001,England,newAdmissions,New admissions,39.0
2020-08-16,nation,W92000004,Wales,newAdmissions,New admissions,37.0
2020-08-16,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-16,nation,S92000003,Scotland,newAdmissions,New admissions,2.0
2020-08-17,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-17,nation,E92000001,England,newAdmissions,New admissions,46.0
2020-08-17,nation,W92000004,Wales,newAdmissions,New admissions,38.0
2020-08-17,nation,S92000003,Scotland,newAdmissions,New admissions,5.0
2020-08-18,nation,W92000004,Wales,newAdmissions,New admissions,63.0
2020-08-18,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-08-18,nation,E92000001,England,newAdmissions,New admissions,56.0
2020-08-18,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-08-19,nation,W92000004,Wales,newAdmissions,New admissions,45.0
2020-08-19,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-08-19,nation,E92000001,England,newAdmissions,New admissions,58.0
2020-08-19,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-08-20,nation,E92000001,England,newAdmissions,New admissions,45.0
2020-08-20,nation,W92000004,Wales,newAdmissions,New admissions,39.0
2020-08-20,nation,S92000003,Scotland,newAdmissions,New admissions,8.0
2020-08-20,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-08-21,nation,E92000001,England,newAdmissions,New admissions,49.0
2020-08-21,nation,S92000003,Scotland,newAdmissions,New admissions,4.0
2020-08-21,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-08-21,nation,W92000004,Wales,newAdmissions,New admissions,54.0
2020-08-22,nation,W92000004,Wales,newAdmissions,New admissions,39.0
2020-08-22,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-08-22,nation,E92000001,England,newAdmissions,New admissions,25.0
